GeneNames,value1,value2,log2FC,p-value
LOC_Os01g63400.2,14,5,1.485426827,0.018448604
LOC_Os10g35720.1,39,14,1.478047297,2.35E-05
LOC_Os09g30412.1,128,46,1.476438044,1.45E-14
LOC_Os02g11780.1,25,9,1.473931188,0.000834593
LOC_Os03g21720.1,72,26,1.469485283,9.55E-09
LOC_Os04g48050.1,36,13,1.469485283,6.81E-05
LOC_Os05g01470.1,33,12,1.459431619,0.000126959
LOC_Os05g11320.1,22,8,1.459431619,0.002621811
LOC_Os02g13640.1,11,4,1.459431619,0.035335757
LOC_Os04g53310.1,19,7,1.440572591,0.004835727
LOC_Os05g49300.1,73,27,1.434937057,1.33E-08
LOC_Os01g68950.1,27,10,1.432959407,0.000713739
LOC_Os03g21680.2,35,13,1.428843299,0.000109446
LOC_Os03g08430.2,72,27,1.415037499,2.12E-08
LOC_Os06g03860.3,32,12,1.415037499,0.000206412
LOC_Os06g09660.1,16,6,1.415037499,0.009495325
LOC_Os11g40690.1,8,3,1.415037499,0.073018098
LOC_Os06g12630.2,29,11,1.398549376,0.000627292
LOC_Os10g10500.1,50,19,1.395928676,4.35E-06
LOC_Os02g28040.1,21,8,1.392317423,0.004193663
LOC_Os10g30580.1,178,68,1.38827059,1.92E-18
LOC_Os02g01740.1,60,23,1.38332864,4.01E-07
LOC_Os01g08750.1,26,10,1.378511623,0.00114889
LOC_Os07g04230.1,13,5,1.378511623,0.029911769
LOC_Os01g16000.2,18,7,1.362570079,0.007854071
LOC_Os01g53520.1,59,23,1.359081093,9.78E-07
LOC_Os02g28830.1,64,25,1.35614381,2.83E-07
LOC_Os01g72100.1,28,11,1.347923303,0.000991282
LOC_Os02g57750.1,10,4,1.321928095,0.058437634
LOC_Os03g37010.1,5,2,1.321928095,0.254266533
LOC_Os02g13140.1,47,19,1.306661338,1.72E-05
LOC_Os06g08670.1,84,34,1.304854582,7.51E-09
LOC_Os02g14760.1,32,13,1.299560282,0.000442455
LOC_Os01g01960.1,108,44,1.295455884,7.15E-11
LOC_Os04g40670.1,22,9,1.289506617,0.003587661
LOC_Os04g40660.3,56,23,1.283792966,3.68E-06
LOC_Os01g14370.1,17,7,1.280107919,0.012634878
LOC_Os03g48080.1,48,20,1.263034406,2.28E-05
LOC_Os02g39930.1,36,15,1.263034406,0.000209084
LOC_Os07g28940.1,12,5,1.263034406,0.047944259
LOC_Os03g22270.2,55,23,1.257797757,5.70E-06
LOC_Os10g30450.1,19,8,1.247927513,0.010499087
LOC_Os06g19620.1,26,11,1.2410081,0.002435294
LOC_Os04g23890.4,92,39,1.238159737,5.22E-09
LOC_Os03g53270.1,49,21,1.222392421,3.02E-05
LOC_Os06g14750.1,42,18,1.222392421,0.000121915
LOC_Os07g33670.1,28,12,1.222392421,0.002082032
LOC_Os03g03900.1,30,13,1.206450877,0.001092979
LOC_Os02g35190.2,128,56,1.192645078,1.04E-11
LOC_Os04g31690.1,32,14,1.192645078,0.000901643
LOC_Os01g73990.1,16,7,1.192645078,0.020107107
LOC_Os03g17180.1,41,18,1.187627003,0.000185934
LOC_Os12g06800.1,25,11,1.184424571,0.003780784
LOC_Os03g21000.1,43,19,1.178337241,0.00010191
LOC_Os03g44230.1,63,28,1.169925001,3.77E-06
LOC_Os10g18340.1,36,16,1.169925001,0.000412975
LOC_Os01g18800.1,27,12,1.169925001,0.003183261
LOC_Os01g09320.1,18,8,1.169925001,0.016398565
LOC_Os08g15080.1,9,4,1.169925001,0.09504445
LOC_Os06g08080.1,157,70,1.165337732,1.15E-13
LOC_Os12g42980.1,56,25,1.163498732,9.89E-06
LOC_Os03g02970.1,38,17,1.160464672,0.000337508
LOC_Os07g43360.1,29,13,1.157541277,0.001701236
LOC_Os02g58090.1,20,9,1.152003093,0.013685332
LOC_Os04g57550.1,73,33,1.14543044,6.51E-07
LOC_Os07g47620.1,33,15,1.137503524,0.00115794
LOC_Os05g32570.1,22,10,1.137503524,0.007183077
LOC_Os09g19640.1,11,5,1.137503524,0.075813161
LOC_Os11g34450.1,175,80,1.129283017,1.36E-14
LOC_Os09g26700.1,24,11,1.125530882,0.005826702
LOC_Os05g24550.1,91,42,1.115477217,3.85E-08
LOC_Os03g59360.1,26,12,1.115477217,0.004837043
LOC_Os09g24990.2,13,6,1.115477217,0.061916569
LOC_Os04g32020.1,71,33,1.105353,1.49E-06
LOC_Os07g30100.1,30,14,1.099535674,0.002120757
LOC_Os02g34600.1,15,7,1.099535674,0.031611361
LOC_Os01g48960.1,107,50,1.097610797,3.96E-09
LOC_Os07g29410.1,62,29,1.096215315,7.19E-06
LOC_Os07g31850.1,32,15,1.093109404,0.001750036
LOC_Os06g06030.1,49,23,1.091147888,7.38E-05
LOC_Os02g50799.1,34,16,1.087462841,0.000978648
LOC_Os01g16540.1,17,8,1.087462841,0.025353655
LOC_Os05g16660.1,19,9,1.078002512,0.020806168
LOC_Os11g33120.3,40,19,1.074000581,0.000539714
LOC_Os01g01700.1,21,10,1.070389328,0.011113935
LOC_Os03g26960.1,65,31,1.068171503,7.19E-06
LOC_Os12g24080.1,88,42,1.067114196,1.92E-07
LOC_Os05g47560.1,67,32,1.06608919,6.04E-06
LOC_Os07g47510.1,50,24,1.058893689,9.03E-05
LOC_Os09g07830.1,25,12,1.058893689,0.007299706
LOC_Os08g09250.2,129,62,1.057030945,3.03E-10
LOC_Os05g44310.1,27,13,1.054447784,0.004030614
LOC_Os05g10770.1,31,15,1.047305715,0.002629676
LOC_Os05g06440.1,35,17,1.041820176,0.001187335
LOC_Os11g10420.1,37,18,1.039528364,0.000964892
LOC_Os04g24600.1,93,46,1.015596855,1.96E-07
LOC_Os06g02540.1,48,24,1,0.000200966
LOC_Os04g41470.1,46,23,1,0.000365689
LOC_Os11g34460.2,42,21,1,0.000534572
LOC_Os01g45274.2,40,20,1,0.000666042
LOC_Os11g32470.1,20,10,1,0.017017329
LOC_Os06g51290.3,18,9,1,0.031330582
LOC_Os06g30970.1,16,8,1,0.038752734
LOC_Os12g40190.1,14,7,1,0.04902433
LOC_Os01g65320.1,12,6,1,0.094237712
LOC_Os03g05720.1,10,5,1,0.117988047
LOC_Os04g34440.1,8,4,1,0.151564778
LOC_Os03g36730.1,6,3,1,0.20097047
LOC_Os01g47770.2,2,1,1,0.589760571
LOC_Os09g31400.1,4,2,1,0.417521697
LOC_Os02g52390.1,264,133,0.989111684,2.63E-18
LOC_Os02g27030.1,302,153,0.981016897,1.41E-20
LOC_Os03g16860.1,57,29,0.974909019,7.47E-05
LOC_Os06g19960.1,55,28,0.974004791,9.10E-05
LOC_Os03g18130.3,43,22,0.966833136,0.000643705
LOC_Os11g34350.1,84,43,0.966052668,1.57E-06
LOC_Os03g09100.1,39,20,0.963474124,0.001446212
LOC_Os08g14330.1,37,19,0.961525852,0.001738806
LOC_Os09g07120.1,48,25,0.941106311,0.000353128
LOC_Os11g10100.1,23,12,0.938599455,0.016236766
LOC_Os02g58410.1,44,23,0.935869663,0.000774842
LOC_Os01g53680.1,21,11,0.932885804,0.020244905
LOC_Os09g02214.1,57,30,0.925999419,0.000130553
LOC_Os03g01014.1,34,18,0.91753784,0.00313872
LOC_Os03g17300.4,17,9,0.91753784,0.046673427
LOC_Os03g21040.2,147,78,0.914270126,6.01E-10
LOC_Os03g17570.5,32,17,0.912537159,0.003947947
LOC_Os03g60150.2,30,16,0.906890596,0.006951129
LOC_Os06g45910.1,15,8,0.906890596,0.058478017
LOC_Os04g51910.1,58,31,0.903784685,0.00010869
LOC_Os01g27150.2,43,23,0.902702799,0.001120573
LOC_Os01g56880.1,28,15,0.900464326,0.008570307
LOC_Os03g53960.2,41,22,0.898120386,0.001372012
LOC_Os05g35170.4,26,14,0.893084796,0.010764897
LOC_Os02g37000.1,13,7,0.893084796,0.074878118
LOC_Os03g31010.1,11,6,0.874469118,0.141285657
LOC_Os01g39260.1,42,23,0.868755467,0.001612823
LOC_Os03g14690.1,100,55,0.862496476,9.12E-07
LOC_Os10g41780.3,20,11,0.862496476,0.030047752
LOC_Os02g08480.1,29,16,0.857980995,0.010075077
LOC_Os06g13650.1,36,20,0.847996907,0.004336876
LOC_Os11g38670.1,27,15,0.847996907,0.012512507
LOC_Os07g01940.1,18,10,0.847996907,0.055313498
