rank,gene,log2fc,pvalue
301,CTTN,-0.037536146,0.605199634
302,AP4B1,-0.037208824,0.828550253
303,PHF20L1,-0.036462905,0.73397121
304,WDR70,-0.035825165,0.763523087
305,ZBTB38,-0.035450494,0.648665363
306,ZNF35,-0.034537175,0.855008737
307,ARNT,-0.032200791,0.706549794
308,RNF11,-0.032122901,0.727016097
309,RNASEH1-AS1,-0.031762456,0.89704145
310,SMC3,-0.031001008,0.769894572
311,FOXJ2,-0.030461987,0.766519658
312,DDX1,-0.030391306,0.717931036
313,AK2,-0.030159619,0.801654394
314,OSGIN1,-0.029743194,0.906045188
315,DHX8,-0.029105711,0.769994865
316,ZNF778,-0.028964575,0.913178633
317,ECT2,-0.020340357,0.876861104
318,HADH,-0.017997028,0.890365243
319,S100A16,-0.016303882,0.880979135
320,LINC01239,-0.015280642,0.958825721
321,SCAMP4,-0.015229146,0.884144944
322,SMIM17,-0.012720338,0.990405694
323,PCDHGC3,-0.01190936,0.887753572
324,PAQR5,-0.01150841,0.956650869
325,GAR1,0.00965769,0.958315259
326,ANKFY1,0.01022767,0.906733396
327,CHERP,0.012376785,0.910439122
328,LRRC37B,0.013253839,0.934582733
329,TMEM134,0.013591598,0.921612115
330,ZSCAN16,0.013695523,0.97446745
331,TATDN1,0.013901812,0.918802296
332,DUSP18,0.015328292,0.95251252
333,LOC100268168,0.016187975,0.978123097
334,ZNF557,0.017530519,0.927276381
335,RPS29,0.018155422,0.834400557
336,TUT1,0.028513077,0.879355935
337,GGPS1,0.028547262,0.787969213
338,NPEPPS,0.028781426,0.793833929
339,PDE6B,0.028797836,0.946041181
340,TRIP11,0.029139928,0.735106561
341,SLC35A1,0.02976614,0.854424707
342,NCKIPSD,0.02978575,0.817665871
343,NFE2L3,0.029964813,0.839257323
344,THUMPD1,0.030045735,0.758328279
345,PPWD1,0.03049054,0.766132531
346,NEPRO,0.030929683,0.757133401
347,TSR2,0.031234074,0.759770582
348,SLC25A5,0.032743294,0.729726593
349,TMEM254,0.033156885,0.805197837
350,ATPAF2,0.035694526,0.842310334
351,TNS3,0.036282018,0.779333526
352,DCAF17,0.05657092,0.687322649
353,STPG3,0.056621974,0.939026433
354,TARS2,0.056629535,0.664978254
355,PRKDC,0.057244837,0.603815404
356,WDR62,0.05753481,0.897576764
357,CCT4,0.05808219,0.496536994
358,DDX55,0.058136489,0.685908956
359,PPDPF,0.058557976,0.533722722
360,LOC646938,0.058734201,0.929186716
361,LINC01465,0.059189207,0.920790232
362,MICALL1,0.059792139,0.621367165
363,BAIAP2,0.060118448,0.691300079
364,PKP4,0.061224005,0.552223269
365,EXT2,0.061322172,0.517717682
366,FBXO44,0.07023537,0.552079109
367,TSC2,0.071312084,0.444185782
368,MDH1,0.071530237,0.400358374
369,PANK3,0.072428523,0.426693508
370,CPQ,0.073446381,0.478199593
371,LGALS3BP,0.073549568,0.377650496
372,CLHC1,0.074476542,0.78185433
373,INVS,0.095180356,0.451618986
374,MBD6,0.096493894,0.483436191
375,ASXL2,0.096820199,0.30748174
376,ELP2,0.098459131,0.248958515
377,DDIAS,0.105910117,0.833850031
378,RUSC2,0.125749263,0.286528198
379,LOC101928120,0.126613953,0.929435571
380,FAM225A,0.127925293,0.692880804
381,RASA1,0.128390722,0.152232468
382,GOLGA4,0.128852921,0.141432604
383,SMPD1,0.131107597,0.155308535
384,NAA80,0.131155507,0.522341999
385,AMIGO1,0.137529308,0.315559394
386,APP,0.139355019,0.070946814
387,ARID1B,0.13979959,0.088727378
388,SUPT7L,0.141410422,0.194645453
389,GDAP1,0.141895751,0.430695317
390,PRKACA,0.143407908,0.089074062
391,SNX7,0.14409437,0.146459575
392,QSER1,0.145879055,0.151079621
393,EHMT1,0.145879375,0.141888505
394,SFTPD,0.1461967,0.85241443
395,PHKB,0.14808506,0.127713873
396,DYNC1H1,0.160872817,0.04767384
397,CIDECP1,0.161762652,0.353557367
398,FBXO21,0.161835867,0.12631172
399,SMYD5,0.167142892,0.157378604
400,F2RL1,0.168335997,0.556393422
401,RAB15,0.170162688,0.215367504
402,PWWP2A,0.171181798,0.226625263
403,TTC9,0.17411669,0.847894933
404,CRADD,0.177603779,0.330905698
405,WDR73,0.178131065,0.136481686
